Name,Address,Parsed Address,Latitude,Longitude,Website,Type
Upper Dublin Public Library,"805 Loch Alsh Ave, Fort Washington","Ft. Washington, Washington, DC, USA",38.938405,-77.007294,https://upperdublinlibrary.org/,community
Make717,"1100 E. Orange Street, Lancaster","1100 East Orange Street, Lancaster, PA, USA",40.041696,-76.279951,https://www.make717.org/,community
MakeSpace,"141 S Fraser St, State College","141 South Fraser Street, State College, PA, USA",40.79291,-77.861506,https://themakespace.com/,community
Walnut St. Labs,"1 N. Church St., 3rd Floor, West Chester, PA 19380","1 North Church Street, West Chester, PA, USA",39.959246,-75.605703,https://walnutstlabs.com/,community
Pubforge,"24 E King St #42, Lancaster, PA 17602","24 East King Street, Lancaster, PA, USA",40.038011,-76.304553,https://pubforge.work/,community
Haddonfield Library,"60 Haddon Avenue, Haddonfield, NJ 08033","Haddonfield, NJ, USA",39.895083,-75.03587,https://www.haddonfieldlibrary.org/makerspace,community
Abbington Art Center Innovation Center,"515 Meetinghouse Rd, Jenkintown, PA 19046","Jenkintown, PA, USA",40.096146,-75.130562,https://abingtonartcenter.org/innovation-center/,community
MakerStudio@GCLS (Mullica Hill),"389 Wolfert Station Rd, Mullica Hill, NJ 08062","Mullica Hill, NJ, USA",39.724648,-75.219457,https://www.gcls.org/makerstudio,community
CreativityStudio@GCLS (Glassboro),"2 Center St, Glassboro, NJ 08028","Center Street, Glassboro, NJ, USA",39.70301,-75.110805,https://www.gcls.org/creativitystudio,community
DesignStudio@GCLS,"389 Wolfert Station Rd, Mullica Hill, NJ 08062","Mullica Hill, NJ, USA",39.724648,-75.219457,https://www.gcls.org/designstudio,community
GCLS InnovationStudio at RCGC,"1400 Tanyard Rd, Sewell, NJ 08080","1400 Tanyard Road, Deptford, NJ, USA",39.781656,-75.12823,https://www.gcls.org/make/innovationstudio,community
Collingswood Public Library,"771 Haddon Ave, Collingswood, NJ 08108","Collingswood, NJ, USA",39.917442,-75.0755,https://www.collingswoodlib.org/makerspace,community
The Factory Workers,"13 Fern Ave, Collingswood, NJ 08108","Collingswood, NJ, USA",39.917442,-75.0755,http://thefactoryworkers.com/,community
MakerDads,"8203 Forest Ave, Elkins Park, PA 19027","Parkville, PA, USA",39.78484,-76.96678,https://www.maker-dads.com/,community
Protohaven,"214 N Trenton Ave, Pittsburgh, PA 15221","214 N Trenton Ave, Pittsburgh, PA, USA",40.447355,-79.890073,https://www.protohaven.org/,community
Hackpgh,"1936 Fifth Ave, Pittsburgh, PA 15219","Fifth Avenue, Pittsburgh, PA, USA",40.438372,-79.980857,https://hackpgh.org/,community
AddLab (Penn),"107 Towne Bldg, Philadelphia","Philadelphia, PA, USA",39.990821,-75.168428,https://meamlabs.seas.upenn.edu/addlab/,university
Perch Design and Fabrication Facility,"3401 Grays Ferry Ave, Philadelphia, PA 19146","3401 Grays Ferry Ave, Philadelphia, PA, USA",39.941467,-75.2,https://www.grasp.upenn.edu/perch,university
3d printing at BioMedical Library (Penn),"3610 Hamilton Walk, Philadelphia, PA 19104","Hamilton Walk, Philadelphia, PA, USA",39.949924,-75.197211,https://guides.library.upenn.edu/3d,university
3d printing at Education Commons (Penn),"Smith Walk, Philadelphia, PA 19104","Smith Walk, Philadelphia, PA, USA",39.951531,-75.191416,https://guides.library.upenn.edu/3deducom,university
Design School - Fabrication Lab (Penn),"210 S 34th St, Philadelphia, PA 19104","210 South 34th Street, Philadelphia, PA, USA",39.95225,-75.192667,https://www.design.upenn.edu/fab-lab/about,university
Penn Design Studio,"3401 Grays Ferry Ave, Philadelphia, PA 19146","3401 Grays Ferry Ave, Philadelphia, PA, USA",39.941467,-75.2,https://www.pennovation.upenn.edu/the-community/innovators/penn-design-studio,university
ExCITe Center (Drexel),"3401 Market Street, Suite 100, Philadelphia, PA 19104","3401 Market Street, Philadelphia, PA, USA",39.95638,-75.191891,http://www.drexel.edu/excite,university
